GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Lift Simulator,com.liftsimulator.runtime.service,RuntimeSimulationService,479,0,20,0,101,0,26,0,16,0
Lift Simulator,com.liftsimulator.runtime.service,RuntimeConfigService,97,0,4,0,20,0,8,0,6,0
Lift Simulator,com.liftsimulator.runtime.service,RuntimeSimulationService.SimulatorThreadFactory,24,0,0,0,5,0,2,0,2,0
Lift Simulator,com.liftsimulator.runtime.service,RuntimeSimulationService.ManagedProcess,12,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.runner,JpaVerificationRunner,401,0,22,0,95,0,19,0,8,0
Lift Simulator,com.liftsimulator.domain,Direction,21,0,0,0,4,0,1,0,1,0
Lift Simulator,com.liftsimulator.domain,CarCall,6,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.domain,DoorState,15,0,0,0,3,0,1,0,1,0
Lift Simulator,com.liftsimulator.domain,LiftRequest,323,0,55,0,59,0,51,0,21,0
Lift Simulator,com.liftsimulator.domain,RequestType,15,0,0,0,3,0,1,0,1,0
Lift Simulator,com.liftsimulator.domain,RequestState,39,0,0,0,7,0,1,0,1,0
Lift Simulator,com.liftsimulator.domain,Action,33,0,0,0,6,0,1,0,1,0
Lift Simulator,com.liftsimulator.domain,ControllerStrategy,15,0,0,0,3,0,1,0,1,0
Lift Simulator,com.liftsimulator.domain,IdleParkingMode,15,0,0,0,3,0,1,0,1,0
Lift Simulator,com.liftsimulator.domain,LiftStatus,45,0,0,0,8,0,1,0,1,0
Lift Simulator,com.liftsimulator.domain,LiftState,50,0,5,0,16,0,9,0,6,0
Lift Simulator,com.liftsimulator.domain,HallCall,9,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.scenario,ScenarioContext,53,0,0,0,16,0,8,0,8,0
Lift Simulator,com.liftsimulator.scenario,ScenarioRunner.RequestLifecycle,29,0,0,0,11,0,6,0,6,0
Lift Simulator,com.liftsimulator.scenario,ScenarioRunnerMain,281,0,38,0,76,0,23,0,4,0
Lift Simulator,com.liftsimulator.scenario,ScenarioRunner,496,0,34,0,99,0,31,0,14,0
Lift Simulator,com.liftsimulator.scenario,ScenarioDefinition,127,0,2,0,38,0,19,0,18,0
Lift Simulator,com.liftsimulator.scenario,ScenarioParser,727,0,72,0,157,0,55,0,17,0
Lift Simulator,com.liftsimulator.scenario,ScenarioEvent,12,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.runtime.dto,SimulationLaunchResponse,12,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.runtime.dto,RuntimeConfigDTO,32,0,0,0,7,0,2,0,2,0
Lift Simulator,com.liftsimulator.engine,DirectionalScanLiftController,1034,0,176,0,238,0,139,0,51,0
Lift Simulator,com.liftsimulator.engine,NaiveLiftController,643,0,112,0,171,0,89,0,33,0
Lift Simulator,com.liftsimulator.engine,SimulationEngine.Builder,57,0,0,0,21,0,7,0,7,0
Lift Simulator,com.liftsimulator.engine,StateTransitionValidator,156,0,17,0,34,0,16,0,6,0
Lift Simulator,com.liftsimulator.engine,SimulationEngine.ActionResult,9,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.engine,SimpleLiftController,56,0,10,0,19,0,7,0,2,0
Lift Simulator,com.liftsimulator.engine,ControllerFactory,49,0,8,0,11,0,7,0,3,0
Lift Simulator,com.liftsimulator.engine,SimulationEngine,988,0,162,0,236,0,101,0,18,0
Lift Simulator,com.liftsimulator.engine,SimulationClock,16,0,0,0,6,0,3,0,3,0
Lift Simulator,com.liftsimulator,Main,788,0,79,0,175,0,55,0,15,0
Lift Simulator,com.liftsimulator,Main.RequestLifecycle,29,0,0,0,11,0,6,0,6,0
Lift Simulator,com.liftsimulator.admin.dto,ValidationIssue,12,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.dto,ScenarioValidationResponse,40,0,8,0,6,0,7,0,3,0
Lift Simulator,com.liftsimulator.admin.dto,CreateVersionRequest,9,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.dto,ConfigValidationResponse,40,0,8,0,6,0,7,0,3,0
Lift Simulator,com.liftsimulator.admin.dto,SimulationRunStartRequest,12,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.dto,CreateLiftSystemRequest,12,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.dto,ScenarioRequest,9,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.dto,ArtefactInfo,57,0,10,0,12,0,8,0,3,0
Lift Simulator,com.liftsimulator.admin.dto,ScenarioResponse,18,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.dto,ConfigValidationRequest,6,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.dto,LiftConfigDTO,36,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.dto,UpdateVersionConfigRequest,6,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.dto,SimulationResultResponse,57,0,0,0,5,0,5,0,5,0
Lift Simulator,com.liftsimulator.admin.dto,LiftSystemResponse,58,0,0,0,15,0,3,0,3,0
Lift Simulator,com.liftsimulator.admin.dto,PassengerFlowDTO,15,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.dto,SimulationRunResponse,115,0,12,0,18,0,9,0,3,0
Lift Simulator,com.liftsimulator.admin.dto,VersionResponse,53,0,0,0,11,0,2,0,2,0
Lift Simulator,com.liftsimulator.admin.dto,ScenarioDefinitionDTO,12,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.dto,CreateSimulationRunRequest,15,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.dto,UpdateLiftSystemRequest,9,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.dto,ValidationIssue.Severity,15,0,0,0,3,0,1,0,1,0
Lift Simulator,com.liftsimulator.runtime.controller,RuntimeConfigController,25,0,0,0,7,0,4,0,4,0
Lift Simulator,com.liftsimulator.admin.controller,HealthController,26,0,0,0,6,0,2,0,2,0
Lift Simulator,com.liftsimulator.admin.controller,LiftSystemController,47,0,0,0,13,0,6,0,6,0
Lift Simulator,com.liftsimulator.admin.controller,SimulationRunController,184,0,6,0,46,0,10,0,6,0
Lift Simulator,com.liftsimulator.admin.controller,SpaForwardingController,22,0,2,0,7,0,3,0,2,0
Lift Simulator,com.liftsimulator.admin.controller,GlobalExceptionHandler.ErrorResponse,12,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.controller,ConfigValidationController,15,0,0,0,5,0,2,0,2,0
Lift Simulator,com.liftsimulator.admin.controller,GlobalExceptionHandler,229,0,6,0,60,0,15,0,12,0
Lift Simulator,com.liftsimulator.admin.controller,LiftSystemVersionController,36,0,0,0,8,0,6,0,6,0
Lift Simulator,com.liftsimulator.admin.controller,GlobalExceptionHandler.ValidationErrorResponse,18,0,0,0,3,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.controller,ScenarioController,59,0,0,0,16,0,7,0,7,0
Lift Simulator,com.liftsimulator.admin.config,JsonStringConverter,22,8,2,0,8,2,3,2,2,2
Lift Simulator,com.liftsimulator.admin.config,JacksonConfiguration,15,0,0,0,2,0,3,0,3,0
Lift Simulator,com.liftsimulator.admin.service,SimulationRunService,442,0,18,0,90,0,34,0,25,0
Lift Simulator,com.liftsimulator.admin.service,SimulationRunExecutionService.SimulationRunnerThreadFactory,24,0,0,0,5,0,2,0,2,0
Lift Simulator,com.liftsimulator.admin.service,ScenarioValidationException,10,0,0,0,4,0,2,0,2,0
Lift Simulator,com.liftsimulator.admin.service,ConfigValidationService,414,0,56,0,81,0,32,0,4,0
Lift Simulator,com.liftsimulator.admin.service,BatchInputGenerator,443,0,24,0,84,0,23,0,11,0
Lift Simulator,com.liftsimulator.admin.service,ConfigValidationException,10,0,0,0,4,0,2,0,2,0
Lift Simulator,com.liftsimulator.admin.service,SimulationRunExecutionService.RunExecutionRequest,12,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.service,BatchInputGenerator.HallCallEvent,15,0,0,0,1,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.service,SimulationRunExecutionService,905,0,62,0,187,0,50,0,19,0
Lift Simulator,com.liftsimulator.admin.service,SimulationScenarioService,84,0,2,0,18,0,10,0,9,0
Lift Simulator,com.liftsimulator.admin.service,ScenarioService,176,0,2,0,41,0,13,0,12,0
Lift Simulator,com.liftsimulator.admin.service,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
Lift Simulator,com.liftsimulator.admin.service,SimulationRunExecutionService.RunMetrics,622,0,32,0,111,0,31,0,15,0
Lift Simulator,com.liftsimulator.admin.service,LiftSystemVersionService,270,0,16,0,60,0,20,0,12,0
Lift Simulator,com.liftsimulator.admin.service,SimulationRunExecutionService.RequestLifecycle,40,0,2,0,13,0,7,0,6,0
Lift Simulator,com.liftsimulator.admin.service,ScenarioValidationService,321,0,32,0,67,0,20,0,4,0
Lift Simulator,com.liftsimulator.admin.service,LiftSystemService,191,0,6,0,41,0,13,0,10,0
Lift Simulator,com.liftsimulator.admin.service,ArtefactService,382,0,54,0,76,0,36,0,9,0
Lift Simulator,com.liftsimulator.admin.service,SimulationRunExecutionService.FloorMetrics,33,0,0,0,11,0,7,0,7,0
Lift Simulator,com.liftsimulator.admin.entity,SimulationRun.RunStatus,0,33,0,0,0,6,0,1,0,1
Lift Simulator,com.liftsimulator.admin.entity,SimulationScenario,101,3,6,0,33,2,19,1,16,1
Lift Simulator,com.liftsimulator.admin.entity,SimulationRun,273,10,16,0,81,5,45,1,37,1
Lift Simulator,com.liftsimulator.admin.entity,LiftSystemVersion.VersionStatus,0,21,0,0,0,4,0,1,0,1
Lift Simulator,com.liftsimulator.admin.entity,LiftSystemVersion,177,10,10,0,53,5,31,1,26,1
Lift Simulator,com.liftsimulator.admin.entity,LiftSystem,119,34,6,0,37,12,23,3,20,3
Lift Simulator,com.liftsimulator.admin.entity,Scenario,57,3,0,0,25,2,13,1,13,1
Lift Simulator,com.liftsimulator.admin,LiftConfigServiceApplication,5,3,0,0,2,1,1,1,1,1
Lift Simulator,com.liftsimulator.runtime,LocalSimulationMain.Arguments,89,0,12,0,15,0,8,0,2,0
Lift Simulator,com.liftsimulator.runtime,LocalSimulationMain,141,0,6,0,48,0,8,0,5,0
